Name,email,phone_no,address,gender,age,no-of-orders,spent_in_week,job,website,annual_income,KMean_clusters
Kevin Watkins,kevinwatkins979@slingacademy.com,9951733229,"8175 Hicks Stravenue
Michaeltown, FM 63439",male,23,6,309,Chef,ChowNow,55919,3
Allison Sweeney,allisonsweeney527@slingacademy.com,6716703447,"850 Smith Squares Suite 535
North Kimberlyborough, GA 18207",female,34,7,375,Chef,UberEats,57887,3
Joseph Hernandez,josephhernandez496@slingacademy.com,6488627262,"7913 Watson Station Apt. 861
Michaelchester, WY 29884",male,40,7,401,Chef,UberEats,74293,0
Steven Little,stevenlittle308@slingacademy.com,8962784656,"5268 Billy Glen
Lake Katieview, NV 47445",male,45,7,404,Chef,goPuff,64855,0
John Bennett,johnbennett349@slingacademy.com,7744705017,"352 Kramer Pine
Alexisville, LA 73816",male,28,8,426,Chef,goPuff,51766,3
Michele Maxwell,michelemaxwell399@slingacademy.com,9081875004,"Unit 6738 Box 4421
DPO AA 83594",female,39,11,529,Chef,UberEats,64567,0
Emily Thomas,emilythomas235@slingacademy.com,6962800462,"5732 Pedro Cliff
Christopherton, PR 77837",female,39,11,530,Chef,UberEats,56090,3
Mark Rogers,markrogers742@slingacademy.com,6359297458,"3716 Bowen Courts
North Ericfort, NV 79361",male,23,11,568,Chef,ChowNow,51803,3
John Cruz,johncruz574@slingacademy.com,8579510111,"6419 Scott Streets
Christinehaven, VI 84128",male,42,11,580,Chef,goPuff,68180,0
David Yoder,davidyoder542@slingacademy.com,8556875085,"178 Shawna Forge
Elizabethside, NH 45291",male,47,11,584,Chef,goPuff,76803,0
James Reynolds,jamesreynolds483@slingacademy.com,7706976948,"1763 Murphy Trace Apt. 572
Martinezfort, NC 61264",male,28,11,603,Chef,UberEats,76196,0
Stephanie Hicks,stephaniehicks386@slingacademy.com,9777051413,"134 Garcia Shores
New Kennethbury, NH 90734",female,28,12,614,Chef,goPuff,59768,0
Paul Brown,paulbrown927@slingacademy.com,8671831731,"81623 James Ville Apt. 514
South Janice, NH 60175",male,41,12,614,Chef,Grubhub,59149,0
Alexandra Morales,alexandramorales748@slingacademy.com,6046710414,"764 Julia Shores Apt. 728
South Paulahaven, MS 91165",female,37,5,263,Clerk,ChowNow,47327,3
Krystal Carroll,krystalcarroll951@slingacademy.com,7622505972,"PSC 3921, Box 4313
APO AP 10337",female,44,5,277,Clerk,ChowNow,53865,3
Alyssa Walker,alyssawalker255@slingacademy.com,8522413281,"6351 Stevens Viaduct Apt. 798
Angelaview, NJ 85260",female,25,5,299,Clerk,goPuff,42093,3
Eric Harvey,ericharvey127@slingacademy.com,9800517775,"7654 Delgado Ford
Youngview, KS 11812",male,34,7,371,Clerk,UberEats,51880,3
Debbie Rogers,debbierogers865@slingacademy.com,9152397328,"22244 Jonathan Ville
Danielbury, PR 03888",female,30,7,391,Clerk,Grubhub,56742,3
Steve Braun,stevebraun545@slingacademy.com,9389513067,"4596 Steven Keys
North Stephanieland, AS 20567",male,45,8,430,Clerk,ChowNow,45935,3
Ryan Rojas,ryanrojas819@slingacademy.com,9409778390,"Unit 8903 Box 0540
DPO AP 81820",male,30,17,872,Dentist,UberEats,161973,2
Andrew Levine,andrewlevine599@slingacademy.com,6649728346,"88497 Ferrell Forest Suite 741
New Brendahaven, NM 18105",male,41,18,892,Dentist,UberEats,200215,1
Brian Olson,brianolson853@slingacademy.com,6277393149,"630 Jacobs Courts Apt. 366
Carrollshire, MH 92998",male,34,18,895,Dentist,UberEats,237482,1
Jessica Welch,jessicawelch323@slingacademy.com,9343260181,"273 Mary Street
North Caitlin, NC 52482",female,35,19,944,Dentist,UberEats,253417,1
Stephanie Faulkner,stephaniefaulkner908@slingacademy.com,8906489355,"73680 Jesus Flats
New Daniel, NV 98748",female,36,19,945,Dentist,Grubhub,279302,1
Dawn Johnson,dawnjohnson466@slingacademy.com,9659257731,"270 Peck Neck Apt. 401
Port Briana, OK 79184",female,43,19,959,Dentist,goPuff,189910,1
Monique Wright,moniquewright318@slingacademy.com,6590662129,"31084 Clark Stream
Lake Joshua, OK 58898",female,25,19,968,Dentist,goPuff,175484,2
Veronica Stein,veronicastein869@slingacademy.com,8874716586,"17840 Kathleen Island
East Arthur, MA 84556",female,25,20,968,Dentist,ChowNow,181727,1
Breanna Santos,breannasantos355@slingacademy.com,6829434042,"56105 King Brook
Staffordland, RI 22533",female,33,20,970,Dentist,goPuff,269756,1
Jeremy Lee,jeremylee380@slingacademy.com,7175474857,"2665 Olivia Orchard
Seanburgh, DE 90669",male,37,20,997,Dentist,goPuff,156591,2
Robert Moore,robertmoore437@slingacademy.com,8464087821,"7939 Gomez Ridges Suite 313
Campostown, IN 58852",male,29,19,968,Doctor,ChowNow,240799,1
Tiffany Pearson,tiffanypearson871@slingacademy.com,7628678909,"573 Nielsen Radial Apt. 571
Jenniferhaven, GA 27177",female,25,20,969,Doctor,goPuff,161808,2
Audrey Richardson,audreyrichardson371@slingacademy.com,9778156295,"589 Wilson Club
North Lisaside, DE 98079",female,29,20,971,Doctor,goPuff,238441,1
Maureen Bryant,maureenbryant185@slingacademy.com,9815827760,"966 Jackson Islands Apt. 787
Lake Victoria, WV 78909",female,36,20,975,Doctor,UberEats,229568,1
Derrick Roberts,derrickroberts940@slingacademy.com,7240100772,"89453 Kennedy Court Suite 960
Codyville, OK 25772",male,32,20,976,Doctor,ChowNow,125325,2
Jeffrey Sullivan,jeffreysullivan581@slingacademy.com,9559285793,"15667 Andrade Way Suite 492
Juliebury, FL 55720",male,29,20,976,Doctor,Grubhub,220686,1
Amy Harris,amyharris260@slingacademy.com,8392891533,"313 Isaiah Unions Apt. 064
New Brianbury, AR 63079",female,48,20,979,Doctor,goPuff,186033,1
Rhonda Flores,rhondaflores754@slingacademy.com,6818029970,"695 Weeks Pike Suite 709
Elizabethport, PA 64690",female,34,20,983,Doctor,goPuff,203289,1
Steven Black,stevenblack291@slingacademy.com,9125385645,"PSC 3185, Box 4766
APO AP 13991",male,26,20,995,Doctor,ChowNow,128580,2
Robert Shepherd,robertshepherd351@slingacademy.com,7998094111,"9187 Rodney Valleys Suite 169
Hayesshire, VI 66707",male,33,13,695,Engineer,ChowNow,113260,2
Robin Snyder,robinsnyder713@slingacademy.com,8202082638,"693 Wilkerson Stream
Lake Patricia, SD 10979",female,31,15,756,Engineer,ChowNow,141956,2
Elijah Cook,elijahcook838@slingacademy.com,7451559093,"577 Brown Hills Apt. 339
North Donnaville, AS 67858",male,45,16,789,Engineer,Grubhub,116618,2
Dennis Hill,dennishill785@slingacademy.com,8209344020,"739 Fleming Spur
Lake Sarahstad, ID 31128",male,46,16,792,Engineer,UberEats,121683,2
Charles Nunez,charlesnunez365@slingacademy.com,8276894595,"70959 Nichols Point
North Stephanieton, OH 05224",male,24,17,866,Engineer,Grubhub,157336,2
Philip Robinson,philiprobinson217@slingacademy.com,7007637656,"85259 Obrien Ridge
Fergusonborough, IN 93154",male,28,17,870,Engineer,UberEats,136281,2
Rachel Larson,rachellarson869@slingacademy.com,6772392605,"Unit 5924 Box 8258
DPO AP 05066",female,28,18,874,Engineer,UberEats,120165,2
Stephen Sharp,stephensharp521@slingacademy.com,9364569780,"66083 Harris Vista Apt. 790
North Karen, VT 95276",male,40,18,888,Engineer,Grubhub,82435,0
Aimee Jacobs,aimeejacobs870@slingacademy.com,6352199866,"USCGC Johnson
FPO AE 24361",female,30,18,900,Engineer,goPuff,127766,2
Brittany Miller,brittanymiller293@slingacademy.com,8085398666,"629 Green Cliff Apt. 429
Jasonville, SC 85081",female,25,19,957,Engineer,goPuff,153091,2
Sabrina Mclaughlin,sabrinamclaughlin622@slingacademy.com,6171487998,"667 Dan Alley
Barryton, NJ 65271",female,30,19,964,Engineer,UberEats,122069,2
Amber Banks,amberbanks989@slingacademy.com,8065792242,"PSC 7193, Box 9854
APO AP 44618",female,35,3,151,Farmer,Grubhub,43853,3
Casey Todd,caseytodd323@slingacademy.com,7619447402,"USS Kemp
FPO AE 62759",female,33,3,158,Farmer,Grubhub,42324,3
Miranda Williams,mirandawilliams964@slingacademy.com,7333728589,"65122 Wagner Mission Suite 100
Mariastad, MP 24086",female,25,4,203,Farmer,Grubhub,48915,3
Alexander Williams,alexanderwilliams474@slingacademy.com,8176514277,"9030 Monroe Views Suite 657
Jamesberg, MN 17244",male,35,5,269,Farmer,Grubhub,38214,3
Jesus Higgins,jesushiggins236@slingacademy.com,9677688555,"7406 Mejia Row
Buckport, VT 69320",male,47,5,275,Farmer,Grubhub,48249,3
James Keith,jameskeith264@slingacademy.com,6183954407,"81211 Brandon Bridge
Walshtown, KY 49568",male,38,6,307,Firefighter,ChowNow,56960,3
Shawn Johnson,shawnjohnson262@slingacademy.com,8325725629,"8781 Woods Avenue
Lake Ashley, MT 51612",male,30,7,381,Firefighter,UberEats,52547,3
Natalie Page,nataliepage369@slingacademy.com,6442394859,"88542 Matthew Stream
Kellerborough, MT 02570",female,43,10,525,Firefighter,UberEats,68390,0
Zachary Fowler,zacharyfowler352@slingacademy.com,8837300442,"USCGC Robinson
FPO AE 20798",male,46,11,530,Firefighter,Grubhub,60969,0
Brian Bowman,brianbowman229@slingacademy.com,9755392391,"969 Douglas Highway
Bowmantown, TX 16637",male,34,11,560,Firefighter,Grubhub,54717,3
Ryan Martin,ryanmartin765@slingacademy.com,7633344599,"399 Walton Islands Suite 274
Fullerfurt, SC 20576",male,41,11,566,Firefighter,goPuff,62649,0
Jennifer Silva,jennifersilva406@slingacademy.com,7082766410,"431 Isaac Port Suite 452
Georgestad, VI 33955",female,41,11,568,Firefighter,UberEats,62927,0
Joseph Sparks,josephsparks348@slingacademy.com,7575915254,"10888 Ortiz Circle Suite 427
East Karen, CT 17147",male,27,11,592,Hairdresser,goPuff,69899,0
Mary Bishop,marybishop477@slingacademy.com,6450514465,"Unit 2545 Box 4085
DPO AA 82706",female,26,12,615,Hairdresser,UberEats,76119,0
Stacey Welch,staceywelch971@slingacademy.com,7481824654,"54502 Blevins Flat
Lake Amanda, VT 17073",female,32,12,649,Hairdresser,Grubhub,79247,0
Brett Burns,brettburns922@slingacademy.com,9594652793,"843 Kiara Islands Suite 610
New Samantha, ND 05439",male,44,13,678,Hairdresser,UberEats,83058,0
Michael Case,michaelcase653@slingacademy.com,6515729938,"PSC 5637, Box 5890
APO AA 46161",male,30,14,716,Hairdresser,Grubhub,88516,0
Terry Bailey,terrybailey896@slingacademy.com,7954325462,"18136 Benton Port Suite 725
West Albertfurt, WV 58853",male,42,14,729,Hairdresser,goPuff,91091,0
Christopher Mcdonald,christophermcdonald139@slingacademy.com,8568885532,"32114 Juarez Mill Apt. 030
Watsonville, WV 40171",male,30,17,831,Hairdresser,ChowNow,109221,2
Andres Becker,andresbecker461@slingacademy.com,9697597977,"9736 Smith Creek Suite 313
West Timothyville, FM 71441",male,23,1,18,Housewife,Grubhub,15780,3
Chase Mcdaniel,chasemcdaniel808@slingacademy.com,9082369287,"91029 Walker Gardens
Kristinchester, NE 97484",male,47,1,20,Housewife,Grubhub,17500,3
Sherry Parsons,sherryparsons565@slingacademy.com,7585576993,"95024 Ford Key
Daybury, AR 42952",female,46,1,20,Housewife,goPuff,18117,3
Javier Jones,javierjones182@slingacademy.com,6256488975,"12668 Zuniga Fords
Bryantberg, MS 85882",male,46,1,68,Housewife,ChowNow,22671,3
Jill Kane,jillkane542@slingacademy.com,6397901654,"3401 Stanley Inlet
Townsendfurt, NE 31065",female,39,1,70,Housewife,ChowNow,22971,3
Janet Valdez,janetvaldez845@slingacademy.com,9018087572,"USS Clark
FPO AP 07894",female,32,4,183,Janitor,UberEats,51757,3
Karen Ford,karenford599@slingacademy.com,9537699744,"42228 Williams Mews Suite 571
East Elizabeth, DE 41027",female,27,4,220,Janitor,UberEats,41164,3
Jamie Johnson,jamiejohnson278@slingacademy.com,7397127598,"9441 Mark Fork Apt. 552
East Levi, OR 94739",female,30,5,256,Janitor,UberEats,48837,3
Jessica Marshall,jessicamarshall263@slingacademy.com,8589834270,"31825 Beck Spring Suite 630
Courtneyfurt, WA 65448",female,43,5,289,Janitor,UberEats,46993,3
Sharon Warner,sharonwarner980@slingacademy.com,8030453472,"050 Anna Camp
South Jonathan, WY 45473",female,28,6,323,Janitor,ChowNow,42262,3
Zachary Williams,zacharywilliams820@slingacademy.com,6511122704,"9402 Davis Courts Apt. 680
Lake Ashley, KS 09338",male,27,7,348,Janitor,Grubhub,44871,3
Brooke Durham,brookedurham899@slingacademy.com,8862716976,"0566 Jordan Curve Suite 033
Port Thomas, CT 88641",female,37,13,688,Lawyer,goPuff,101780,0
Ryan Murray,ryanmurray936@slingacademy.com,8640193444,"64878 Brown Cape
Zamorastad, NM 42037",male,26,14,722,Lawyer,goPuff,108690,2
Gabrielle Smith,gabriellesmith365@slingacademy.com,8329015743,"57060 Smith Mountains Apt. 084
Lake Victoriamouth, ND 46585",female,41,14,736,Lawyer,goPuff,120784,2
Nicole Bennett,nicolebennett504@slingacademy.com,7434268321,"PSC 6988, Box 5001
APO AE 16379",female,28,15,744,Lawyer,UberEats,115448,2
Heather Ali,heatherali563@slingacademy.com,8028087255,"18051 Courtney Dam
South Joannaside, MA 63768",female,32,16,800,Lawyer,UberEats,96048,0
Sandra Mcmahon,sandramcmahon670@slingacademy.com,6738041703,"3275 Pitts Ways Apt. 980
North Kennethmouth, KS 89901",female,34,16,800,Lawyer,UberEats,94790,0
Bailey Mercado,baileymercado654@slingacademy.com,7191903927,"8868 Jennifer Brooks
Lake Davidburgh, VA 18694",female,24,17,826,Lawyer,goPuff,126502,2
Morgan Cooper,morgancooper145@slingacademy.com,8726566806,"1585 Jorge Square
Franklinhaven, ME 63668",female,48,17,826,Lawyer,UberEats,138708,2
Matthew Stokes,matthewstokes156@slingacademy.com,9536367413,"2927 Guerrero Mall Suite 959
New Christopher, KY 24314",male,35,17,847,Lawyer,goPuff,103584,2
Timothy Mullins,timothymullins109@slingacademy.com,9616584755,"417 Tiffany Station
East Lauraport, TN 51946",male,38,18,907,Lawyer,goPuff,113330,2
Kenneth Rubio,kennethrubio544@slingacademy.com,7505435754,"3597 Carter Heights
Victorstad, RI 07301",male,31,18,909,Lawyer,Grubhub,89533,0
Mary Zamora,maryzamora706@slingacademy.com,7561350407,"173 Patrick Villages Suite 685
Keithborough, IN 16335",female,46,7,386,Librarian,goPuff,55325,3
Larry Cole,larrycole178@slingacademy.com,6460648467,"2201 Jackson Fords Apt. 384
East Megan, MS 16415",male,41,9,444,Librarian,UberEats,63644,0
Jeffrey Diaz,jeffreydiaz916@slingacademy.com,8534289526,"777 Sarah Islands
New Peterside, IN 38052",male,27,9,456,Librarian,UberEats,57551,3
Joseph Brown,josephbrown503@slingacademy.com,8037910491,"3013 Jason Loaf
North Matthew, MN 91073",male,31,9,497,Librarian,goPuff,62460,0
Emily Jones,emilyjones872@slingacademy.com,7041572524,"08013 Robertson Islands
Lake Paulbury, MH 73051",female,23,9,455,Mechanic,Grubhub,82408,0
Tara Davis,taradavis390@slingacademy.com,9289721805,"Unit 5834 Box 4505
DPO AA 10482",female,27,11,561,Mechanic,ChowNow,71193,0
Tiffany Bowers,tiffanybowers561@slingacademy.com,7695371928,"700 Johnson Path Suite 935
New David, PW 75426",female,26,12,610,Mechanic,UberEats,82629,0
Linda Craig,lindacraig125@slingacademy.com,6518680457,"566 Moore Knoll Suite 649
Parkermouth, MS 88971",female,23,12,663,Mechanic,UberEats,88234,0
Christine Smith,christinesmith610@slingacademy.com,9250702309,"8372 Michael Ferry
East Christina, VI 14781",female,46,13,668,Mechanic,goPuff,64560,0
